iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
202152,Airplane,B-737-400,11/23/00 0:00,Damage,US AIRWAYS,LAGUARDIA NY,New York,Climb,Medium,No Cloud,N,"1,500",Yes,Engine Shut Down
208159,Airplane,MD-80,7/25/01 0:00,Damage,AMERICAN AIRLINES,DALLAS/FORT WORTH INTL ARPT,Texas,Landing Roll,Small,Some Cloud,Y,0,No,None
207601,Airplane,C-500,9/14/01 0:00,No damage,BUSINESS,LAKEFRONT AIRPORT,Louisiana,Approach,Small,No Cloud,N,50,No,None
215953,Airplane,B-737-400,9/5/02 0:00,No damage,ALASKA AIRLINES,SEATTLE-TACOMA INTL,Washington,Climb,Small,Some Cloud,Y,50,Yes,Precautionary Landing
219878,Airplane,CL-RJ100/200,6/23/03 0:00,No damage,COMAIR AIRLINES,NORFOLK INTL,Virginia,Approach,Small,No Cloud,N,50,No,None
218432,Airplane,A-300,7/24/03 0:00,No damage,AMERICAN AIRLINES,GUAYAQUIL/S BOLIVAR,N/A,Take-off run,Small,No Cloud,N,0,No,None
221697,Airplane,LEARJET-25,8/17/03 0:00,Damage,BUSINESS,NEW CASTLE COUNTY,Delaware,Climb,Small,No Cloud,N,150,No,Other
236635,Airplane,A-320,3/1/06 0:00,Damage,UNITED AIRLINES,WASHINGTON DULLES INTL ARPT,DC,Approach,Small,Some Cloud,Y,100,No,Other
207369,Airplane,DC-9-30,1/6/00 0:00,No damage,AIRTRAN AIRWAYS,ATLANTA INTL,Georgia,Take-off run,Small,Some Cloud,N,0,No,Aborted Take-off
204371,Airplane,A-330,1/7/00 0:00,No damage,AIRTOURS INTL,ORLANDO SANFORD INTL AIRPORT,Florida,Landing Roll,Small,Some Cloud,N,0,No,None
201589,Airplane,A-320,1/8/00 0:00,No damage,AMERICA WEST AIRLINES,ONTARIO INTL ARPT,California,Approach,Small,Some Cloud,N,200,No,None
205958,Airplane,FOKKER F100,1/20/00 0:00,Damage,AMERICAN AIRLINES,CHICAGO O'HARE INTL ARPT,Illinois,Approach,Large,No Cloud,N,"1,700",No,None
200220,Airplane,C-421,1/30/00 0:00,No damage,BUSINESS,GROTON-NEW LONDON AR,Connecticut,Landing Roll,Small,Overcast,N,0,No,None
200219,Airplane,C-560,1/30/00 0:00,No damage,EXECUTIVE JET AVIATION,SPIRIT OF ST LOUIS,Missouri,Approach,Small,Overcast,N,"1,800",No,None
203756,Airplane,B-737-200,1/30/00 0:00,No damage,US AIRWAYS,THEODORE FRANCIS GREEN STATE,Rhode Island,Approach,Small,No Cloud,N,50,Yes,None
